Barna Andrea, 10/A (Solt 1996.06.12, 152 cm)
Kovács Mariann, 10/A (Szolnok 1996.01.23, 161 cm)
Kovács László, 10/A (Lajosmizse 1996.03.12, 159 cm)
Barna Zoltán, 10/A (Nagykőrös 1996.05.28, 166 cm)
Horváth Andrea, 10/A (Kiskőrös 1996.10.28, 172 cm)
Szabó Katalin, 10/A (Szolnok 1996.10.06, 165 cm)
Horváth József, 10/A (Szeged 1996.04.19, 183 cm)
Barna László, 10/A (Lajosmizse 1996.11.18, 159 cm)
Szőke Zoltán, 10/A (Nagykőrös 1996.12.24, 199 cm)
Szabó Andrea, 10/A (Kecskemét 1996.06.30, 165 cm)
Kiss Gergely, 10/A (Kiskőrös 1996.03.05, 162 cm)
